image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0066x2,0.189,0.528,0.18,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.5,0.359,,,,,,,,,,,,,,,,
0067x2,0.202,0.534,0.239,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.473,0.4,,,,,,,,,,,,,,,,
0068x2,0.211,0.531,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.512,0.394,,,,,,,,,,,,,,,,
0069x2,0.207,0.472,0.233,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.266,0.369,,,,,,,,,,,,,,,,
0070x2,0.151,0.501,0.172,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.453,0.369,,,,,,,,,,,,,,,,
0071x2,0.21,0.519,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.379,0.418,,,,,,,,,,,,,,,,
0072x2,0.191,0.515,0.176,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.484,0.382,,,,,,,,,,,,,,,,
0073x2,0.189,0.488,0.179,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.512,0.33,,,,,,,,,,,,,,,,
0074x2,0.229,0.486,0.261,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.408,0.353,,,,,,,,,,,,,,,,
0075x2,0.222,0.525,0.311,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.443,0.387,,,,,,,,,,,,,,,,
0076x2,0.186,0.528,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.536,0.388,,,,,,,,,,,,,,,,
0077x2,0.196,0.529,0.221,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.5,0.392,,,,,,,,,,,,,,,,
0078x2,0.267,0.549,0.291,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.503,0.427,,,,,,,,,,,,,,,,
0079x2,0.164,0.513,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.501,0.406,,,,,,,,,,,,,,,,
0080x2,0.183,0.519,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.478,0.379,,,,,,,,,,,,,,,,
0081x2,0.241,0.521,0.326,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.542,0.362,,,,,,,,,,,,,,,,
0082x2,0.193,0.515,0.202,0.736842105263158,0.736842105263158,0.736842105263158,0.42,1.446,0.396,,,,,,,,,,,,,,,,
0083x2,0.23,0.544,0.284,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.426,0.43,,,,,,,,,,,,,,,,
0084x2,0.24,0.514,0.275,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.502,0.389,,,,,,,,,,,,,,,,
0085x2,0.216,0.524,0.272,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.475,0.395,,,,,,,,,,,,,,,,
0086x2,0.192,0.506,0.207,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.511,0.365,,,,,,,,,,,,,,,,
0087x2,0.197,0.543,0.243,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.485,0.397,,,,,,,,,,,,,,,,
0088x2,0.23,0.503,0.255,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.539,0.361,,,,,,,,,,,,,,,,
0089x2,0.214,0.493,0.243,0.736842105263158,0.736842105263158,0.736842105263158,0.406,1.435,0.389,,,,,,,,,,,,,,,,
0090x2,0.195,0.502,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.442,0.397,,,,,,,,,,,,,,,,
0091x2,0.186,0.53,0.21,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.488,0.393,,,,,,,,,,,,,,,,
0092x2,0.201,0.507,0.241,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.462,0.37,,,,,,,,,,,,,,,,
0093x2,0.206,0.528,0.196,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.504,0.39,,,,,,,,,,,,,,,,
0094x2,0.17,0.525,0.175,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.438,0.396,,,,,,,,,,,,,,,,
0095x2,0.219,0.517,0.241,0.736842105263158,0.736842105263158,0.736842105263158,0.403,1.481,0.384,,,,,,,,,,,,,,,,
0096x2,0.231,0.51,0.27,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.484,0.397,,,,,,,,,,,,,,,,
0097x2,0.191,0.501,0.184,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.509,0.344,,,,,,,,,,,,,,,,
0098x2,0.212,0.55,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.409,1.587,0.419,,,,,,,,,,,,,,,,
0099x2,0.225,0.545,0.26,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.538,0.402,,,,,,,,,,,,,,,,
0100x2,0.197,0.53,0.224,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.525,0.399,,,,,,,,,,,,,,,,
0101x2,0.196,0.538,0.212,0.736842105263158,0.736842105263158,0.736842105263158,0.411,1.639,0.386,,,,,,,,,,,,,,,,
0102x2,0.237,0.537,0.231,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.487,0.416,,,,,,,,,,,,,,,,
0103x2,0.204,0.529,0.233,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.445,0.421,,,,,,,,,,,,,,,,
0104x2,0.192,0.524,0.209,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.48,0.382,,,,,,,,,,,,,,,,
