image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0124x3,1.099,0.787,0.522,0.736842105263158,0.736842105263158,0.736842105263158,1.5,2.061,0.793,,,,,,,,,,,,,,
0125x3,0.91,0.72,0.488,0.736842105263158,0.736842105263158,0.736842105263158,1.463,2.044,0.835,,,,,,,,,,,,,,
0126x3,1.138,0.804,0.55,0.736842105263158,0.736842105263158,0.736842105263158,1.508,2.022,0.745,,,,,,,,,,,,,,
0127x3,1.12,0.754,0.514,0.736842105263158,0.736842105263158,0.736842105263158,1.566,2.055,0.848,,,,,,,,,,,,,,
0128x3,1.08,0.723,0.337,0.736842105263158,0.736842105263158,0.736842105263158,1.495,2.106,0.802,,,,,,,,,,,,,,
0129x3,1.101,0.797,0.487,0.736842105263158,0.736842105263158,0.736842105263158,1.453,1.897,0.757,,,,,,,,,,,,,,
0130x3,0.97,0.717,0.499,0.736842105263158,0.736842105263158,0.736842105263158,1.548,2.122,0.793,,,,,,,,,,,,,,
0131x3,1.031,0.723,0.459,0.736842105263158,0.736842105263158,0.736842105263158,1.642,2.162,0.806,,,,,,,,,,,,,,
0132x3,1.045,0.724,0.411,0.736842105263158,0.736842105263158,0.736842105263158,1.525,2.11,1.013,,,,,,,,,,,,,,
0133x3,1.113,0.754,0.501,0.736842105263158,0.736842105263158,0.736842105263158,1.583,2.082,0.813,,,,,,,,,,,,,,
0134x3,1.096,0.767,0.611,0.736842105263158,0.736842105263158,0.736842105263158,1.589,2.107,0.812,,,,,,,,,,,,,,
0135x3,1.063,0.792,0.57,0.736842105263158,0.736842105263158,0.736842105263158,1.437,1.937,0.776,,,,,,,,,,,,,,
0136x3,1.088,0.765,0.456,0.736842105263158,0.736842105263158,0.736842105263158,1.53,2.036,0.808,,,,,,,,,,,,,,
0137x3,1.075,0.791,0.5,0.736842105263158,0.736842105263158,0.736842105263158,1.421,1.892,0.771,,,,,,,,,,,,,,
0138x3,1.103,0.784,0.499,0.736842105263158,0.736842105263158,0.736842105263158,1.537,2.058,0.821,,,,,,,,,,,,,,
0139x3,0.877,0.706,0.463,0.736842105263158,0.736842105263158,0.736842105263158,1.532,2.02,0.727,,,,,,,,,,,,,,
0140x3,0.97,0.701,0.468,0.736842105263158,0.736842105263158,0.736842105263158,1.492,2.097,0.787,,,,,,,,,,,,,,
0141x3,1.094,0.777,0.531,0.736842105263158,0.736842105263158,0.736842105263158,1.461,1.949,0.788,,,,,,,,,,,,,,
0142x3,0.841,0.69,0.444,0.736842105263158,0.736842105263158,0.736842105263158,1.558,2.201,0.809,,,,,,,,,,,,,,
0143x3,1.066,0.78,0.477,0.736842105263158,0.736842105263158,0.736842105263158,1.51,1.945,0.781,,,,,,,,,,,,,,
0144x3,1.071,0.853,0.782,0.736842105263158,0.736842105263158,0.736842105263158,1.487,1.941,0.802,,,,,,,,,,,,,,
0145x3,0.618,0.601,0.414,0.736842105263158,0.736842105263158,0.736842105263158,1.516,2.423,0.835,,,,,,,,,,,,,,
0146x3,0.918,0.693,0.413,0.736842105263158,0.736842105263158,0.736842105263158,1.608,2.183,0.862,,,,,,,,,,,,,,
0147x3,1.1,0.756,0.474,0.736842105263158,0.736842105263158,0.736842105263158,1.526,2.018,0.771,,,,,,,,,,,,,,
0148x3,0.927,0.687,0.428,0.736842105263158,0.736842105263158,0.736842105263158,1.633,2.207,0.803,,,,,,,,,,,,,,
0149x3,1.097,0.758,0.442,0.736842105263158,0.736842105263158,0.736842105263158,1.558,2.111,0.824,,,,,,,,,,,,,,
0150x3,1.079,0.762,0.586,0.736842105263158,0.736842105263158,0.736842105263158,1.525,2.169,0.816,,,,,,,,,,,,,,
0151x3,1.059,0.805,0.459,0.736842105263158,0.736842105263158,0.736842105263158,1.532,1.953,0.825,,,,,,,,,,,,,,
0152x3,1.128,0.784,0.523,0.736842105263158,0.736842105263158,0.736842105263158,1.579,2.089,0.843,,,,,,,,,,,,,,
0153x3,1.073,0.741,0.402,0.736842105263158,0.736842105263158,0.736842105263158,1.468,2.016,0.827,,,,,,,,,,,,,,
0154x3,1.081,0.753,0.47,0.736842105263158,0.736842105263158,0.736842105263158,1.521,2.072,0.826,,,,,,,,,,,,,,
0155x3,1.1,0.772,0.312,0.736842105263158,0.736842105263158,0.736842105263158,1.641,2.065,0.803,,,,,,,,,,,,,,
0156x3,1.06,0.732,0.35,0.736842105263158,0.736842105263158,0.736842105263158,1.528,2.058,0.802,,,,,,,,,,,,,,
0157x3,1.09,0.79,0.548,0.736842105263158,0.736842105263158,0.736842105263158,1.517,2.018,0.806,,,,,,,,,,,,,,
0158x3,0.879,0.695,0.335,0.736842105263158,0.736842105263158,0.736842105263158,1.531,2.19,0.813,,,,,,,,,,,,,,
0159x3,1.05,0.734,0.445,0.736842105263158,0.736842105263158,0.736842105263158,1.506,2.079,0.8,,,,,,,,,,,,,,
0160x3,0.932,0.746,0.429,0.736842105263158,0.736842105263158,0.736842105263158,1.493,2.12,0.766,,,,,,,,,,,,,,
0161x3,0.825,0.705,0.464,0.736842105263158,0.736842105263158,0.736842105263158,1.536,2.138,0.813,,,,,,,,,,,,,,
0162x3,0.177,0.405,0.119,0.736842105263158,0.736842105263158,0.736842105263158,0.346,1.128,0.351,,,,,,,,,,,,,,
0163x3,0.955,0.71,0.427,0.736842105263158,0.736842105263158,0.736842105263158,1.622,2.174,0.848,,,,,,,,,,,,,,
0164x3,1.091,0.778,0.504,0.736842105263158,0.736842105263158,0.736842105263158,1.478,1.992,0.814,,,,,,,,,,,,,,
0165x3,1.113,0.779,0.555,0.736842105263158,0.736842105263158,0.736842105263158,1.491,2,0.805,,,,,,,,,,,,,,
0166x3,0.97,0.739,0.577,0.736842105263158,0.736842105263158,0.736842105263158,1.559,2.135,0.795,,,,,,,,,,,,,,
0167x3,1.097,0.765,0.51,0.736842105263158,0.736842105263158,0.736842105263158,1.508,2.111,0.851,,,,,,,,,,,,,,
0168x3,1.072,0.767,0.465,0.736842105263158,0.736842105263158,0.736842105263158,1.486,1.976,0.802,,,,,,,,,,,,,,
0169x3,1.125,0.761,0.452,0.736842105263158,0.736842105263158,0.736842105263158,1.601,2.072,0.792,,,,,,,,,,,,,,
0170x3,0.8,0.711,0.39,0.736842105263158,0.736842105263158,0.736842105263158,1.437,2.165,0.82,,,,,,,,,,,,,,
0171x3,0.953,0.759,0.635,0.736842105263158,0.736842105263158,0.736842105263158,1.473,2.06,0.834,,,,,,,,,,,,,,
0172x3,0.9,0.738,0.639,0.736842105263158,0.736842105263158,0.736842105263158,1.574,2.132,0.824,,,,,,,,,,,,,,
0173x3,1.003,0.729,0.392,0.736842105263158,0.736842105263158,0.736842105263158,1.539,2.055,0.872,,,,,,,,,,,,,,
0174x3,0.87,0.658,0.292,0.736842105263158,0.736842105263158,0.736842105263158,1.463,2.048,0.777,,,,,,,,,,,,,,
0175x3,1.076,0.781,0.26,0.736842105263158,0.736842105263158,0.736842105263158,1.485,2.002,0.753,,,,,,,,,,,,,,
0176x3,1.104,0.767,0.473,0.736842105263158,0.736842105263158,0.736842105263158,1.627,2.111,0.8,,,,,,,,,,,,,,
0177x3,1.126,0.775,0.524,0.736842105263158,0.736842105263158,0.736842105263158,1.524,2.044,0.805,,,,,,,,,,,,,,
0178x3,0.93,0.751,0.523,0.736842105263158,0.736842105263158,0.736842105263158,1.438,1.946,0.793,,,,,,,,,,,,,,
0179x3,1.082,0.785,0.447,0.736842105263158,0.736842105263158,0.736842105263158,1.537,2.014,0.81,,,,,,,,,,,,,,
0180x3,1.06,0.776,0.549,0.736842105263158,0.736842105263158,0.736842105263158,1.497,2.011,0.815,,,,,,,,,,,,,,
0181x3,1.13,0.818,0.67,0.736842105263158,0.736842105263158,0.736842105263158,1.554,2.002,0.83,,,,,,,,,,,,,,
0182x3,0.941,0.694,0.285,0.736842105263158,0.736842105263158,0.736842105263158,1.4,2.061,0.811,,,,,,,,,,,,,,
0183x3,1.054,0.762,0.493,0.736842105263158,0.736842105263158,0.736842105263158,1.458,2.049,0.811,,,,,,,,,,,,,,
0184x3,0.876,0.703,0.376,0.736842105263158,0.736842105263158,0.736842105263158,1.48,2.026,0.794,,,,,,,,,,,,,,
0185x3,1.086,0.759,0.48,0.736842105263158,0.736842105263158,0.736842105263158,1.478,2.061,0.812,,,,,,,,,,,,,,
0186x3,0.954,0.737,0.416,0.736842105263158,0.736842105263158,0.736842105263158,1.525,2.058,0.8,,,,,,,,,,,,,,
0187x3,1.145,0.785,0.611,0.736842105263158,0.736842105263158,0.736842105263158,1.559,2.049,0.824,,,,,,,,,,,,,,
0188x3,1.068,0.791,0.485,0.736842105263158,0.736842105263158,0.736842105263158,1.497,1.962,0.839,,,,,,,,,,,,,,
0189x3,0.828,0.669,0.34,0.736842105263158,0.736842105263158,0.736842105263158,1.584,2.202,0.794,,,,,,,,,,,,,,
0190x3,0.961,0.757,0.341,0.736842105263158,0.736842105263158,0.736842105263158,1.513,2.052,0.843,,,,,,,,,,,,,,
0191x3,1.102,0.774,0.581,0.736842105263158,0.736842105263158,0.736842105263158,1.48,1.973,0.784,,,,,,,,,,,,,,
0192x3,1.146,0.784,0.596,0.736842105263158,0.736842105263158,0.736842105263158,1.574,2.009,0.692,,,,,,,,,,,,,,
0193x3,1.123,0.76,0.509,0.736842105263158,0.736842105263158,0.736842105263158,1.561,2.057,0.821,,,,,,,,,,,,,,
0194x3,1.069,0.785,0.475,0.736842105263158,0.736842105263158,0.736842105263158,1.511,2.01,0.822,,,,,,,,,,,,,,
0195x3,1.069,0.772,0.458,0.736842105263158,0.736842105263158,0.736842105263158,1.499,2.012,0.811,,,,,,,,,,,,,,
0196x3,0.975,0.745,0.461,0.736842105263158,0.736842105263158,0.736842105263158,1.487,2.049,0.78,,,,,,,,,,,,,,
0197x3,1.057,0.781,0.501,0.736842105263158,0.736842105263158,0.736842105263158,1.444,1.995,0.777,,,,,,,,,,,,,,
0198x3,1.072,0.779,0.53,0.736842105263158,0.736842105263158,0.736842105263158,1.468,1.978,0.809,,,,,,,,,,,,,,
0199x3,1.126,0.798,0.577,0.736842105263158,0.736842105263158,0.736842105263158,1.591,2.003,0.832,,,,,,,,,,,,,,
0200x3,1.18,0.813,0.781,0.736842105263158,0.736842105263158,0.736842105263158,1.517,1.984,0.827,,,,,,,,,,,,,,
0201x3,0.884,0.698,0.491,0.736842105263158,0.736842105263158,0.736842105263158,1.525,2.164,0.814,,,,,,,,,,,,,,
0202x3,1.078,0.793,0.612,0.736842105263158,0.736842105263158,0.736842105263158,1.506,1.936,0.885,,,,,,,,,,,,,,
0203x3,1.092,0.759,0.542,0.736842105263158,0.736842105263158,0.736842105263158,1.379,1.815,0.766,,,,,,,,,,,,,,
