image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0118x4,0.146,0.385,0.142,0.736842105263158,0.736842105263158,0.736842105263158,0.323,1.223,0.24,,,,,,,,,,,,,,,
0119x4,0.063,0.247,0.054,0.736842105263158,0.736842105263158,0.736842105263158,0.252,0.857,0.185,,,,,,,,,,,,,,,
0120x4,0.117,0.355,0.086,0.736842105263158,0.736842105263158,0.736842105263158,0.352,1.318,0.292,,,,,,,,,,,,,,,
0121x4,0.168,0.377,0.187,0.736842105263158,0.736842105263158,0.736842105263158,0.359,1.27,0.265,,,,,,,,,,,,,,,
0122x4,0.184,0.438,0.196,0.736842105263158,0.736842105263158,0.736842105263158,0.286,1.511,0.193,,,,,,,,,,,,,,,
0123x4,0.128,0.419,0.184,0.736842105263158,0.736842105263158,0.736842105263158,0.334,1.296,0.264,,,,,,,,,,,,,,,
0124x4,0.161,0.362,0.138,0.736842105263158,0.736842105263158,0.736842105263158,0.297,1.106,0.25,,,,,,,,,,,,,,,
0125x4,0.181,0.332,0.181,0.273569302828191,0.736842105263158,0.736842105263158,0.308,1.116,0.238,,,,,,,,,,,,,,,
0126x4,0.238,0.42,0.161,0.736842105263158,0.736842105263158,0.736842105263158,0.338,1.226,0.155,,,,,,,,,,,,,,,
0127x4,0.172,0.35,0.166,0.736842105263158,0.736842105263158,0.736842105263158,0.329,1.158,0.27,,,,,,,,,,,,,,,
0128x4,0.138,0.287,,0.736842105263158,0.736842105263158,0.736842105263158,0.317,1.043,0.166,,,,,,,,,,,,,,,
0129x4,0.136,0.418,0.081,0.736842105263158,0.736842105263158,0.736842105263158,0.328,1.453,0.28,,,,,,,,,,,,,,,
0130x4,0.173,0.297,0.186,0.736842105263158,0.736842105263158,0.736842105263158,0.304,0.953,0.202,,,,,,,,,,,,,,,
0131x4,,0.261,0.118,0.736842105263158,0.736842105263158,0.736842105263158,0.267,0.922,0.183,,,,,,,,,,,,,,,
0132x4,0.094,0.282,0.128,0.736842105263158,0.736842105263158,0.736842105263158,0.159,1.026,0.544,,,,,,,,,,,,,,,
0133x4,0.114,0.317,0.13,0.736842105263158,0.736842105263158,0.736842105263158,0.304,1.076,0.23,,,,,,,,,,,,,,,
0134x4,0.134,0.31,0.109,0.736842105263158,0.736842105263158,0.736842105263158,0.29,0.95,0.213,,,,,,,,,,,,,,,
0135x4,0.156,0.397,0.123,0.736842105263158,0.736842105263158,0.736842105263158,0.377,1.446,0.197,,,,,,,,,,,,,,,
0136x4,0.139,0.351,0.122,0.736842105263158,0.736842105263158,0.736842105263158,0.322,1.188,0.242,,,,,,,,,,,,,,,
0137x4,0.175,0.403,0.12,0.736842105263158,0.736842105263158,0.736842105263158,0.348,1.484,0.252,,,,,,,,,,,,,,,
0138x4,0.159,0.381,0.133,0.736842105263158,0.736842105263158,0.736842105263158,0.318,1.179,0.207,,,,,,,,,,,,,,,
0139x4,0.156,0.315,0.201,0.736842105263158,0.736842105263158,0.736842105263158,0.242,0.849,0.1,,,,,,,,,,,,,,,
0140x4,0.161,0.292,0.064,0.736842105263158,0.736842105263158,0.736842105263158,0.237,1.085,0.238,,,,,,,,,,,,,,,
0141x4,0.166,0.386,0.156,0.736842105263158,0.736842105263158,0.736842105263158,0.311,1.236,0.249,,,,,,,,,,,,,,,
0142x4,0.119,0.278,0.147,0.349891927427072,0.736842105263158,0.0612566411276233,0.254,0.757,0.176,,,,,,,,,,,,,,,
0143x4,0.135,0.409,0.086,0.736842105263158,0.736842105263158,0.736842105263158,0.341,1.478,0.238,,,,,,,,,,,,,,,
0144x4,0.254,0.489,0.354,0.736842105263158,0.736842105263158,0.736842105263158,0.34,1.558,0.301,,,,,,,,,,,,,,,
0145x4,,0.059,0.119,0.295425186987705,0.736842105263158,0.736842105263158,0.151,0.423,0.114,,,,,,,,,,,,,,,
0146x4,0.056,0.243,,0.736842105263158,0.736842105263158,0.736842105263158,0.273,0.84,0.177,,,,,,,,,,,,,,,
0147x4,0.151,0.31,0.094,0.736842105263158,0.736842105263158,0.736842105263158,0.333,1.051,0.217,,,,,,,,,,,,,,,
0148x4,0.089,0.193,0.118,0.736842105263158,0.736842105263158,0.736842105263158,0.25,0.775,0.163,,,,,,,,,,,,,,,
0149x4,0.152,0.312,0.111,0.736842105263158,0.736842105263158,0.736842105263158,0.28,0.983,0.209,,,,,,,,,,,,,,,
0150x4,0.13,0.278,0.066,0.736842105263158,0.736842105263158,0.736842105263158,0.305,0.942,0.175,,,,,,,,,,,,,,,
0151x4,0.119,0.432,0.078,0.736842105263158,0.736842105263158,0.736842105263158,0.378,1.607,0.247,,,,,,,,,,,,,,,
0152x4,0.166,0.368,0.149,0.736842105263158,0.736842105263158,0.736842105263158,0.286,1.236,0.204,,,,,,,,,,,,,,,
0153x4,0.14,0.337,0.083,0.736842105263158,0.736842105263158,0.736842105263158,0.312,1.1,0.244,,,,,,,,,,,,,,,
0154x4,0.17,0.327,0.098,0.736842105263158,0.736842105263158,0.736842105263158,0.301,1.092,0.196,,,,,,,,,,,,,,,
0155x4,0.092,0.297,,0.736842105263158,0.736842105263158,0.736842105263158,0.302,1.047,0.223,,,,,,,,,,,,,,,
0156x4,0.086,0.273,,0.736842105263158,0.736842105263158,0.736842105263158,0.318,1.16,0.223,,,,,,,,,,,,,,,
