image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0073x4,0.063,0.225,,0.358355902193215,0.736842105263158,0.736842105263158,0.253,0.785,0.135,,,,,,,,,,,,,,
0074x4,0.219,0.37,0.237,0.189693776251818,0.736842105263158,,0.269,1.038,0.175,,,,,,,,,,,,,,
0075x4,0.212,0.426,0.277,0.736842105263158,0.736842105263158,0.736842105263158,0.272,1.27,0.261,,,,,,,,,,,,,,
0076x4,0.125,0.342,0.102,0.736842105263158,0.736842105263158,0.736842105263158,0.324,1.132,0.241,,,,,,,,,,,,,,
0077x4,0.139,0.332,0.093,0.736842105263158,0.736842105263158,0.736842105263158,0.325,1.196,0.235,,,,,,,,,,,,,,
0078x4,0.272,0.443,0.312,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.396,0.281,,,,,,,,,,,,,,
0079x4,,0.292,0.098,0.736842105263158,0.736842105263158,0.736842105263158,0.323,1.165,0.251,,,,,,,,,,,,,,
0080x4,0.091,0.32,0.118,0.736842105263158,0.736842105263158,0.736842105263158,0.296,1.094,0.215,,,,,,,,,,,,,,
0081x4,0.23,0.315,0.308,0.736842105263158,0.736842105263158,0.736842105263158,0.32,0.896,0.212,,,,,,,,,,,,,,
0082x4,0.106,0.321,0.078,0.736842105263158,0.736842105263158,0.736842105263158,0.308,1.307,0.223,,,,,,,,,,,,,,
0083x4,0.206,0.43,0.242,0.736842105263158,0.736842105263158,0.736842105263158,0.36,1.451,0.215,,,,,,,,,,,,,,
0084x4,0.186,0.31,0.221,0.736842105263158,0.736842105263158,0.736842105263158,0.284,1.026,0.201,,,,,,,,,,,,,,
0085x4,0.144,0.34,0.198,0.736842105263158,0.736842105263158,0.736842105263158,0.326,1.138,0.2,,,,,,,,,,,,,,
0086x4,0.144,0.298,0.111,0.736842105263158,0.736842105263158,0.736842105263158,0.298,1.001,0.209,,,,,,,,,,,,,,
0087x4,0.129,0.394,0.144,0.736842105263158,0.736842105263158,0.736842105263158,0.33,1.263,0.266,,,,,,,,,,,,,,
0088x4,0.155,0.262,0.184,0.333840228684083,0.736842105263158,0.144222069822835,0.261,0.878,0.159,,,,,,,,,,,,,,
0089x4,0.143,0.261,0.104,0.736842105263158,0.736842105263158,0.736842105263158,0.332,1.04,0.22,,,,,,,,,,,,,,
0090x4,0.088,0.342,0.115,0.736842105263158,0.736842105263158,0.736842105263158,0.27,1.233,0.2,,,,,,,,,,,,,,
0091x4,0.084,0.295,0.104,0.736842105263158,0.736842105263158,0.736842105263158,0.313,1.105,0.226,,,,,,,,,,,,,,
0092x4,0.077,0.287,0.118,0.736842105263158,0.736842105263158,0.736842105263158,0.301,0.974,0.191,,,,,,,,,,,,,,
0093x4,0.145,0.37,0.107,0.318823793458813,0.736842105263158,0.736842105263158,0.284,1.18,0.21,,,,,,,,,,,,,,
0094x4,0.097,0.348,,0.736842105263158,0.736842105263158,0.736842105263158,0.322,1.324,0.238,,,,,,,,,,,,,,
0095x4,0.175,0.334,0.181,0.736842105263158,0.736842105263158,0.736842105263158,0.287,1.063,0.203,,,,,,,,,,,,,,
0096x4,0.186,0.335,0.241,0.736842105263158,0.736842105263158,0.736842105263158,0.303,1.164,0.216,,,,,,,,,,,,,,
0097x4,0.069,0.227,,0.736842105263158,0.736842105263158,0.736842105263158,0.236,0.788,0.182,,,,,,,,,,,,,,
0098x4,0.195,0.419,0.169,0.736842105263158,0.736842105263158,0.736842105263158,0.344,1.405,0.268,,,,,,,,,,,,,,
0099x4,0.236,0.439,0.224,0.736842105263158,0.736842105263158,0.736842105263158,0.336,1.349,0.248,,,,,,,,,,,,,,
0100x4,0.109,0.342,0.109,0.736842105263158,0.736842105263158,0.736842105263158,0.353,1.241,0.238,,,,,,,,,,,,,,
0101x4,0.14,0.35,0.113,0.736842105263158,0.736842105263158,0.736842105263158,0.32,1.179,0.256,,,,,,,,,,,,,,
